delito,diasem,mes,tipov,longitud,latitud
134,5,1,0,1,-70.8433298,-32.2168984
135,5,1,4,2,-71.545736,-32.9768722
136,5,1,4,1,-71.5087631,-33.039364
137,5,1,7,2,-71.6322346,-33.0455639
138,5,1,9,1,-71.5580174,-33.0171755
139,5,1,11,1,-71.2378269,-32.8699152
140,5,1,13,1,-71.5380759,-33.0447334
141,5,1,15,4,-71.5835596,-33.0309795
142,5,1,16,1,-71.2785561,-32.9382696
143,5,1,18,1,-71.6718599,-33.3653444
144,5,1,21,3,-71.545736,-32.9768722
145,5,1,22,3,-71.383707,-33.0450165
146,5,1,22,6,-71.3888201,-33.0245074
147,6,1,3,1,-71.5663939,-33.0483436
148,6,1,10,6,-71.285034,-32.4478785
149,6,1,10,6,-71.285034,-32.4478785
150,6,1,13,1,-71.2185153,-32.7927252
151,6,1,16,1,-71.5369819,-33.0653268
152,7,1,5,1,-71.5284816,-32.8271994
153,7,1,13,1,-71.5327603,-32.9802743
154,7,1,23,3,-71.6854038,-33.3978822
155,1,1,13,1,-71.5434875,-32.9701302
156,1,1,20,1,-71.6044023,-33.5467786
157,1,1,21,1,-71.5621514,-33.030496
158,2,1,3,1,-71.3471234,-33.0386602
159,2,1,5,1,-70.1825095,-32.7771364
160,2,1,7,5,-71.4939275,-32.9998037
161,2,1,10,2,-71.2421672,-32.8847296
162,2,1,10,1,-71.5960565,-33.0464165
163,2,1,16,1,-71.5383438,-32.936347
164,2,1,19,1,-71.5765875,-33.1222217
165,2,1,20,1,-71.5469288,-33.0221567
166,2,1,20,1,-71.5469288,-33.0221567
167,2,1,23,2,-71.5932669,-33.0600808
168,3,1,1,4,-71.6027968,-33.5448179
169,3,1,2,1,-71.260217,-32.8904111
170,3,1,3,1,-71.5341096,-33.0317099
171,3,1,5,2,-71.5033251,-33.0249848
172,3,1,5,1,-71.3628741,-33.0504716
173,3,1,5,6,-71.3628741,-33.0504716
174,3,1,10,1,-71.6313847,-33.0293299
175,3,1,10,1,-71.6313847,-33.0293299
176,3,1,10,1,-70.6009955,-32.8286145
177,4,1,4,3,-71.5570157,-33.0431999
178,4,1,5,1,-71.4215791,-33.0489147
179,4,1,7,1,-71.2473555,-32.879997
180,4,1,10,5,-71.4560836,-32.8091149
181,4,1,23,1,-71.5514361,-33.022563
182,4,1,23,2,-70.7280225,-32.7570854
